trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2551,False,"{'a': 0.006053559620788051, 'e': 0.006053559620788051}",20,14,9.823010464548904,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2552,False,"{'a': 0.0060414525015464755, 'e': 0.0060414525015464755}",25,15,14.249041593978996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2553,False,"{'a': 0.006029369596543382, 'e': 0.006029369596543382}",20,13,15.474867947646977,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2554,False,"{'a': 0.0060173108573502955, 'e': 0.0060173108573502955}",20,9,19.69316218765681,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2555,False,"{'a': 0.006005276235635595, 'e': 0.006005276235635595}",25,18,15.698337774173577,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2556,False,"{'a': 0.005993265683164324, 'e': 0.005993265683164324}",25,8,29.006444721077177,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2557,False,"{'a': 0.005981279151797995, 'e': 0.005981279151797995}",30,14,30.53060190577902,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2558,False,"{'a': 0.005969316593494399, 'e': 0.005969316593494399}",25,14,20.31356045841444,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2559,False,"{'a': 0.005957377960307411, 'e': 0.005957377960307411}",20,0,28.633962156624097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2560,False,"{'a': 0.0059454632043867955, 'e': 0.0059454632043867955}",20,14,9.932640259621754,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2561,False,"{'a': 0.0059335722779780215, 'e': 0.0059335722779780215}",25,19,8.182082494148643,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2562,False,"{'a': 0.005921705133422066, 'e': 0.005921705133422066}",20,5,26.559299121752215,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2563,False,"{'a': 0.005909861723155221, 'e': 0.005909861723155221}",25,12,28.920593898628642,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2564,False,"{'a': 0.005898041999708911, 'e': 0.005898041999708911}",25,13,23.157754206154017,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2565,False,"{'a': 0.0058862459157094935, 'e': 0.0058862459157094935}",20,16,6.517462208716098,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2566,False,"{'a': 0.005874473423878074, 'e': 0.005874473423878074}",20,16,7.58838306099987,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2567,False,"{'a': 0.005862724477030318, 'e': 0.005862724477030318}",30,16,27.446352739916765,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2568,False,"{'a': 0.005850999028076257, 'e': 0.005850999028076257}",20,13,14.610430789247118,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2569,False,"{'a': 0.005839297030020105, 'e': 0.005839297030020105}",30,13,35.333643995413816,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2570,False,"{'a': 0.005827618435960065, 'e': 0.005827618435960065}",20,8,21.775112689129443,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2571,False,"{'a': 0.005815963199088145, 'e': 0.005815963199088145}",20,14,10.67904262508105,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2572,False,"{'a': 0.005804331272689968, 'e': 0.005804331272689968}",25,13,23.459698411756833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2573,False,"{'a': 0.005792722610144589, 'e': 0.005792722610144589}",30,13,33.78377803623835,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2574,False,"{'a': 0.005781137164924299, 'e': 0.005781137164924299}",30,21,17.914253090425376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2575,False,"{'a': 0.00576957489059445, 'e': 0.00576957489059445}",20,1,33.79012276498511,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
